enhancer_element	closest_gene_id	closest_gene_name
chr1:5156400-5157500	ENSG00000196581.11	AJAP1
chr1:5326800-5327900	ENSG00000069424.15	KCNAB2
chr1:21716900-21718000	ENSG00000090686.16	USP48
chr1:34657200-34658300	ENSG00000189280.3	GJB5
chr1:34913200-34914300	ENSG00000116544.12	DLGAP3
chr1:40463800-40464900	ENSG00000187815.10	ZFP69
chr1:40587800-40588900	ENSG00000117010.17	ZNF684
chr1:46541500-46542600	ENSG00000282881.2	TMEM275
chr1:49051800-49052900	ENSG00000186094.17	AGBL4
chr1:54823000-54824100	ENSG00000162398.12	LEXM
chr1:58132800-58133900	ENSG00000162600.12	OMA1
chr1:61372700-61373800	ENSG00000162599.17	NFIA
chr1:66039500-66040600	ENSG00000184588.18	PDE4B
chr1:66163600-66164700	ENSG00000184588.18	PDE4B
chr1:68773600-68774700	ENSG00000024526.17	DEPDC1
chr1:70626800-70627900	ENSG00000116761.12	CTH
chr1:71547600-71548700	ENSG00000132485.14	ZRANB2
chr1:74568600-74569700	ENSG00000162621.7	LRRC53
chr1:88308600-88309700	ENSG00000065243.20	PKN2
chr1:90875800-90876900	ENSG00000122482.21	ZNF644
chr1:110818800-110819900	ENSG00000143119.14	CD53
chr1:111813600-111814700	ENSG00000064703.13	DDX20
chr1:111994500-111995600	ENSG00000171385.10	KCND3
chr1:112197900-112199000	ENSG00000143079.15	CTTNBP2NL
chr1:123070500-123071600	ENSG00000171943.12	SRGAP2C
chr1:124730800-124731900	ENSG00000171943.12	SRGAP2C
chr1:175554200-175555300	ENSG00000116147.17	TNR
chr1:176933600-176934700	ENSG00000152092.16	ASTN1
chr1:177131700-177132800	ENSG00000152092.16	ASTN1
chr1:181191400-181192500	ENSG00000162783.11	IER5
chr1:186686800-186687900	ENSG00000073756.13	PTGS2
chr1:208575400-208576500	ENSG00000076356.7	PLXNA2
chr1:210738700-210739800	ENSG00000143473.13	KCNH1
chr1:210924600-210925700	ENSG00000143473.13	KCNH1
chr1:227639400-227640500	ENSG00000181450.18	ZNF678
chr1:227643400-227644500	ENSG00000181450.18	ZNF678
chr1:227654400-227655500	ENSG00000181450.18	ZNF678
chr1:227663000-227664100	ENSG00000181450.18	ZNF678
chr1:230614000-230615100	ENSG00000135775.14	COG2
chr1:233865400-233866500	ENSG00000183780.13	SLC35F3
chr1:234364800-234365900	ENSG00000168275.16	COA6
chr1:242181800-242182900	ENSG00000197769.6	MAP1LC3C
chr1:244575300-244576400	ENSG00000121644.19	DESI2
chr1:248110500-248111600	ENSG00000196071.5	OR2L13
chr10:10610800-10611900	ENSG00000048740.18	CELF2
chr10:16425100-16426200	ENSG00000165983.15	PTER
chr10:16576600-16577700	ENSG00000165985.10	C1QL3
chr10:16611000-16612100	ENSG00000165985.10	C1QL3
chr10:16612700-16613800	ENSG00000165985.10	C1QL3
chr10:23718600-23719700	ENSG00000120549.18	KIAA1217
chr10:25644600-25645700	ENSG00000095777.17	MYO3A
chr10:30770300-30771400	ENSG00000151033.10	LYZL2
chr10:37828800-37829900	ENSG00000198105.16	ZNF248
chr10:38119600-38120700	ENSG00000075407.18	ZNF37A
chr10:60021900-60023000	ENSG00000151150.22	ANK3
chr10:64611300-64612400	ENSG00000165476.14	REEP3
chr10:66252800-66253900	ENSG00000198739.11	LRRTM3
chr10:66989500-66990600	ENSG00000198739.11	LRRTM3
chr10:78186700-78187800	ENSG00000138326.21	RPS24
chr10:78418600-78419700	ENSG00000138326.21	RPS24
chr10:82819700-82820800	ENSG00000185737.13	NRG3
chr10:83250700-83251800	ENSG00000185737.13	NRG3
chr10:83518000-83519100	ENSG00000165678.21	GHITM
chr10:85835600-85836700	ENSG00000182771.19	GRID1
chr10:88712900-88714000	ENSG00000204021.5	LIPK
chr10:108145600-108146700	ENSG00000108018.16	SORCS1
chr10:113860500-113861600	ENSG00000196865.4	NHLRC2
chr10:130264700-130265800	ENSG00000108010.12	GLRX3
chr10:133106800-133107900	ENSG00000197177.16	ADGRA1
chr11:2644300-2645400	ENSG00000053918.18	KCNQ1
chr11:5330300-5331400	ENSG00000279012.2	OR51B2
chr11:20909900-20911000	ENSG00000165973.19	NELL1
chr11:20973400-20974500	ENSG00000165973.19	NELL1
chr11:27871400-27872500	ENSG00000176697.20	BDNF
chr11:33505500-33506600	ENSG00000110427.17	KIAA1549L
chr11:33516900-33518000	ENSG00000110427.17	KIAA1549L
chr11:41191900-41193000	ENSG00000148948.8	LRRC4C
chr11:43013400-43014500	ENSG00000166181.13	API5
chr11:49166900-49168000	ENSG00000086205.18	FOLH1
chr11:49424100-49425200	ENSG00000086205.18	FOLH1
chr11:58147700-58148800	ENSG00000172377.3	OR9I1
chr11:64613900-64615000	ENSG00000197891.12	SLC22A12
chr11:75622900-75624000	ENSG00000171533.12	MAP6
chr11:79289000-79290100	ENSG00000149256.16	TENM4
chr11:84015300-84016400	ENSG00000150672.18	DLG2
chr11:85367700-85368800	ENSG00000150672.18	DLG2
chr11:87478600-87479700	ENSG00000166575.17	TMEM135
chr11:99965900-99967000	ENSG00000149972.11	CNTN5
chr11:108736600-108737700	ENSG00000178105.11	DDX10
chr11:113008100-113009200	ENSG00000149294.17	NCAM1
chr11:113059000-113060100	ENSG00000149294.17	NCAM1
chr11:129095000-129096100	ENSG00000134909.19	ARHGAP32
chr11:131626800-131627900	ENSG00000182667.15	NTM
chr11:133321500-133322600	ENSG00000183715.14	OPCML
chr11:133357600-133358700	ENSG00000183715.14	OPCML
chr11:133905500-133906600	ENSG00000080854.16	IGSF9B
chr12:14046800-14047900	ENSG00000273079.7	GRIN2B
chr12:22795800-22796900	ENSG00000139163.16	ETNK1
chr12:23200100-23201200	ENSG00000134532.19	SOX5
chr12:38714600-38715700	ENSG00000139117.14	CPNE8
chr12:40552700-40553800	ENSG00000205592.15	MUC19
chr12:41458600-41459700	ENSG00000165966.16	PDZRN4
chr12:44667900-44669000	ENSG00000184613.11	NELL2
chr12:44699900-44701000	ENSG00000184613.11	NELL2
chr12:45864300-45865400	ENSG00000189079.17	ARID2
chr12:50432500-50433600	ENSG00000161813.22	LARP4
chr12:51694300-51695400	ENSG00000196876.18	SCN8A
chr12:71759300-71760400	ENSG00000080371.6	RAB21
chr12:75108700-75109800	ENSG00000166006.14	KCNC2
chr12:78426300-78427400	ENSG00000067798.16	NAV3
chr12:79355600-79356700	ENSG00000177425.11	PAWR
chr12:79359100-79360200	ENSG00000177425.11	PAWR
chr12:81336000-81337100	ENSG00000139220.17	PPFIA2
chr12:82891900-82893000	ENSG00000179104.9	TMTC2
chr12:88005500-88006600	ENSG00000165805.10	C12orf50
chr12:98778600-98779700	ENSG00000185046.19	ANKS1B
chr12:100812800-100813900	ENSG00000151572.18	ANO4
chr12:100815700-100816800	ENSG00000151572.18	ANO4
chr12:106060800-106061900	ENSG00000074590.14	NUAK1
chr12:111280600-111281700	ENSG00000198324.14	PHETA1
chr12:112500700-112501800	ENSG00000179295.18	PTPN11
chr12:112872900-112874000	ENSG00000089127.15	OAS1
chr12:117429900-117431000	ENSG00000089250.19	NOS1
chr12:125517500-125518600	ENSG00000139364.11	TMEM132B
chr12:126003400-126004500	ENSG00000139364.11	TMEM132B
chr12:127762900-127764000	ENSG00000181234.10	TMEM132C
chr12:127815100-127816200	ENSG00000181234.10	TMEM132C
chr12:129466900-129468000	ENSG00000151952.16	TMEM132D
chr12:129972000-129973100	ENSG00000151952.16	TMEM132D
chr12:129982700-129983800	ENSG00000151952.16	TMEM132D
chr12:130563200-130564300	ENSG00000060709.15	RIMBP2
chr12:130700100-130701200	ENSG00000060709.15	RIMBP2
chr12:130701300-130702400	ENSG00000060709.15	RIMBP2
chr12:131208700-131209800	ENSG00000111452.13	ADGRD1
chr12:133010300-133011400	ENSG00000198393.8	ZNF26
chr12:133023800-133024900	ENSG00000198040.11	ZNF84
chr12:133047700-133048800	ENSG00000198040.11	ZNF84
chr12:133109600-133110700	ENSG00000214029.6	ZNF891
chr12:133151600-133152700	ENSG00000256223.6	ZNF10
chr13:20663100-20664200	ENSG00000172458.5	IL17D
chr13:26686400-26687500	ENSG00000132975.8	GPR12
chr13:38302800-38303900	ENSG00000120686.12	UFM1
chr13:48551000-48552100	ENSG00000136161.13	RCBTB2
chr13:51040400-51041500	ENSG00000226792.7	C13orf42
chr13:51874900-51876000	ENSG00000123171.8	CCDC70
chr13:54471100-54472200	ENSG00000102837.7	OLFM4
chr13:57747700-57748800	ENSG00000118946.12	PCDH17
chr13:66605500-66606600	ENSG00000184226.15	PCDH9
chr13:77256300-77257400	ENSG00000288716.1	AC001226.8
chr13:86826600-86827700	ENSG00000165300.8	SLITRK5
chr13:90385900-90387000	ENSG00000179399.15	GPC5
chr13:90558100-90559200	ENSG00000179399.15	GPC5
chr13:96134900-96136000	ENSG00000185352.9	HS6ST3
chr13:96311300-96312400	ENSG00000185352.9	HS6ST3
chr13:97721100-97722200	ENSG00000065150.21	IPO5
chr13:111503800-111504900	ENSG00000153495.11	TEX29
chr14:20014200-20015300	ENSG00000169484.4	OR4K14
chr14:24765900-24767000	ENSG00000168952.15	STXBP6
chr14:25247400-25248500	ENSG00000168952.15	STXBP6
chr14:28787700-28788800	ENSG00000176165.12	FOXG1
chr14:29681300-29682400	ENSG00000184304.16	PRKD1
chr14:32670500-32671600	ENSG00000151320.11	AKAP6
chr14:35024900-35026000	ENSG00000151327.13	FAM177A1
