enhancer_element	closest_gene_id	closest_gene_name
chr1:10893600-10895000	ENSG00000175262.14	C1orf127
chr1:26332800-26334300	ENSG00000176092.17	CRYBG2
chr1:39918200-39920300	ENSG00000116990.11	MYCL
chr1:41412100-41413800	ENSG00000204060.7	FOXO6
chr1:46154400-46156000	ENSG00000117472.10	TSPAN1
chr1:56030800-56032000	ENSG00000162407.9	PLPP3
chr1:56251500-56253900	ENSG00000162407.9	PLPP3
chr1:60929400-60930700	ENSG00000162599.17	NFIA
chr1:62772900-62774700	ENSG00000125703.15	ATG4C
chr1:65244300-65245800	ENSG00000116675.16	DNAJC6
chr1:84318800-84320600	ENSG00000203943.9	SAMD13
chr1:91939900-91942600	ENSG00000137948.19	BRDT
chr1:150901100-150904200	ENSG00000283324.1	CTXND2
chr1:164552400-164553700	ENSG00000185630.19	PBX1
chr1:167244200-167245900	ENSG00000143190.23	POU2F1
chr1:175358300-175359700	ENSG00000116147.17	TNR
chr1:180555100-180557400	ENSG00000230124.8	ACBD6
chr1:184679700-184681100	ENSG00000116406.19	EDEM3
chr1:187953400-187954700	ENSG00000116711.10	PLA2G4A
chr1:202824800-202826000	ENSG00000117139.18	KDM5B
chr1:203111500-203112800	ENSG00000163485.17	ADORA1
chr1:212497400-212498600	ENSG00000117691.10	NENF
chr1:212551200-212552900	ENSG00000162772.17	ATF3
chr1:216694000-216695300	ENSG00000196482.18	ESRRG
chr1:228719300-228720600	ENSG00000116574.6	RHOU
chr1:248042900-248044600	ENSG00000198128.4	OR2L3
chr10:3414300-3415500	ENSG00000107959.17	PITRM1
chr10:8384100-8385800	ENSG00000107485.18	GATA3
chr10:16562500-16564000	ENSG00000165985.10	C1QL3
chr10:32219700-32221200	ENSG00000120616.16	EPC1
chr10:59954100-59955600	ENSG00000108091.11	CCDC6
chr10:126119100-126120600	ENSG00000203780.12	FANK1
chr11:2246800-2248900	ENSG00000183734.5	ASCL2
chr11:4484800-4486300	ENSG00000196778.4	OR52K1
chr11:4555500-4558700	ENSG00000197790.1	OR52M1
chr11:70041000-70042800	ENSG00000131620.17	ANO1
chr11:73301600-73302700	ENSG00000110237.5	ARHGEF17
chr11:74196100-74198700	ENSG00000214517.10	PPME1
chr11:74198800-74200200	ENSG00000214517.10	PPME1
chr11:76566400-76568400	ENSG00000158636.16	EMSY
chr11:76846800-76848600	ENSG00000078124.13	ACER3
chr11:105456200-105458300	ENSG00000255501.3	CARD18
chr11:108601000-108602200	ENSG00000110723.12	EXPH5
chr11:114568900-114570600	ENSG00000095110.8	NXPE1
chr11:135070200-135071400	ENSG00000109956.13	B3GAT1
chr12:5968400-5970200	ENSG00000047617.16	ANO2
chr12:19424700-19426400	ENSG00000139154.16	AEBP2
chr12:25301400-25303700	ENSG00000133703.13	KRAS
chr12:31708000-31709900	ENSG00000151743.11	AMN1
chr12:38129100-38131300	ENSG00000175548.9	ALG10B
chr12:38203400-38206200	ENSG00000175548.9	ALG10B
chr12:39422900-39425600	ENSG00000139116.19	KIF21A
chr12:43585500-43587300	ENSG00000173157.17	ADAMTS20
chr12:50838200-50839700	ENSG00000186452.11	TMPRSS12
chr12:62210200-62212000	ENSG00000198673.11	TAFA2
chr12:63683400-63684500	ENSG00000177990.12	DPY19L2
chr12:66923900-66925600	ENSG00000155974.13	GRIP1
chr12:69420900-69422300	ENSG00000166225.9	FRS2
chr12:71587200-71588800	ENSG00000133858.17	ZFC3H1
chr12:74445300-74447300	ENSG00000253719.4	ATXN7L3B
chr12:102215100-102216600	ENSG00000183395.5	PMCH
chr12:104935000-104937000	ENSG00000136052.10	SLC41A2
chr12:108737300-108739700	ENSG00000110880.11	CORO1C
chr12:114803100-114804500	ENSG00000135111.16	TBX3
chr13:38052700-38056900	ENSG00000133107.15	TRPC4
chr13:110595400-110596600	ENSG00000213995.12	NAXD
chr13:111035400-111036600	ENSG00000102606.19	ARHGEF7
chr14:51130800-51132400	ENSG00000100505.14	TRIM9
chr14:59036700-59038400	ENSG00000100592.16	DAAM1
chr14:63572300-63574500	ENSG00000154001.14	PPP2R5E
chr14:63778000-63779400	ENSG00000054654.19	SYNE2
chr14:72254600-72256000	ENSG00000182732.18	RGS6
chr14:75598000-75600100	ENSG00000119686.10	FLVCR2
chr14:77644100-77646200	ENSG00000100596.7	SPTLC2
chr14:96434200-96435800	ENSG00000140057.9	AK7
chr15:56084300-56085500	ENSG00000069869.17	NEDD4
chr15:71967500-71968700	ENSG00000066933.16	MYO9A
chr15:76265400-76266600	ENSG00000140374.16	ETFA
chr15:81948700-81949900	ENSG00000183496.6	MEX3B
chr15:92859800-92861500	ENSG00000279765.3	RP11-437B10.1
chr16:14463700-14466900	ENSG00000140694.17	PARN
chr16:55698800-55700300	ENSG00000103546.19	SLC6A2
chr16:66415200-66416500	ENSG00000166546.14	BEAN1
chr17:8028100-8029300	ENSG00000179593.16	ALOX15B
chr17:13327700-13329800	ENSG00000153976.3	HS3ST3A1
chr17:38290800-38293500	ENSG00000278845.5	MRPL45
chr17:40717400-40718600	ENSG00000167916.5	KRT24
chr17:41053700-41055100	ENSG00000214518.3	KRTAP2-2
chr17:63891300-63892500	ENSG00000136488.15	CSH1
chr17:65466700-65468100	ENSG00000168646.13	AXIN2
chr17:69662100-69663400	ENSG00000108984.15	MAP2K6
chr17:69936100-69938100	ENSG00000153822.15	KCNJ16
chr18:3033800-3035900	ENSG00000101577.10	LPIN2
chr18:26267200-26269300	ENSG00000141384.13	TAF4B
chr18:30967500-30968700	ENSG00000134762.17	DSC3
chr18:54153200-54154300	ENSG00000134046.12	MBD2
chr18:76812100-76814300	ENSG00000130856.17	ZNF236
chr19:689200-690900	ENSG00000185198.12	PRSS57
chr19:19679700-19680900	ENSG00000181896.12	ZNF101
chr19:23048600-23050100	ENSG00000183850.14	ZNF730
chr19:23982200-23984100	ENSG00000213096.11	ZNF254
chr19:39302300-39304100	ENSG00000182393.3	IFNL1
chr19:39546700-39547800	ENSG00000176396.11	EID2
chr19:42837100-42839500	ENSG00000124467.19	PSG8
chr19:42971400-42972900	ENSG00000221878.13	PSG7
chr19:42977000-42979100	ENSG00000221878.13	PSG7
chr19:43166200-43167600	ENSG00000204941.14	PSG5
chr19:52410400-52411600	ENSG00000167555.14	ZNF528
chr19:52498200-52500500	ENSG00000258405.11	ZNF578
chr19:52761900-52763300	ENSG00000189190.10	ZNF600
chr19:52876300-52877400	ENSG00000182986.15	ZNF320
chr19:53009700-53011300	ENSG00000269526.1	ERVV-1
chr19:53011800-53013600	ENSG00000269526.1	ERVV-1
chr2:6198300-6199400	ENSG00000176887.7	SOX11
chr2:15906000-15908100	ENSG00000134323.12	MYCN
chr2:38814000-38815600	ENSG00000163214.21	DHX57
