           chr     start       end closest.active.gene
24401     chr1  10949227  10965291              TARDBP
130598    chr1  10949936  10981487              TARDBP
137244    chr1  10948127  10971910               CASZ1
153302    chr1  10949534  10963499               CASZ1
223954    chr1  10948228  10972315               CASZ1
224719    chr1  10948177  10972319               CASZ1
247702    chr1  10949357  10972125            C1ORF127
248163    chr1  10947914  10972253               CASZ1
248869    chr1  10948198  10972641               CASZ1
252514    chr1  10948168  10972215               CASZ1
253912    chr1  10948904  10972358               CASZ1
254823    chr1  10948058  10972382               CASZ1
257535    chr1  10947760  10972260               CASZ1
258120    chr1  10947958  10985394              TARDBP
261223    chr1  10947392  10972350               CASZ1
274507    chr1  10948288  10972252               CASZ1
275416    chr1  10949275  10972229               CASZ1
302167    chr1  10948339  10980788               CASZ1
315196    chr1  10948197  10971406               CASZ1
323770    chr1  10950229  10963268            C1ORF127
207815    chr1  26650128  26676007               AIM1L
269778    chr1  26654505  26679813               AIM1L
302405    chr1  26647217  26705495               AIM1L
19217     chr1  41822715  41899299               SCMH1
204806    chr1  41859598  41886440                EDN2
224280    chr1  41826825  41882949                EDN2
225144    chr1  41822894  41882809                EDN2
239786    chr1  41822553  41902428                EDN2
252606    chr1  41822754  41882656                EDN2
255595    chr1  41860521  41923976                EDN2
289007    chr1  41822711  41974419                EDN2
292538    chr1  41822498  41922193                EDN2
293618    chr1  41860429  41914900                EDN2
297366    chr1  41822688  41923907                EDN2
301828    chr1  41785958  41995301                EDN2
192584    chr1  46615682  46651508              TSPAN1
24452     chr1  56483062  56499765              PPAP2B
188908    chr1  56494805  56547741              PPAP2B
194713    chr1  61331386  61402866                NFIA
204075    chr1  61323528  61401289                NFIA
251400    chr1  61321772  61404788                NFIA
254094    chr1  61349804  61403632                NFIA
255359    chr1  61322685  61403767                NFIA
256221    chr1  61313300  61441131                NFIA
256875    chr1  61312935  61403773                NFIA
261077    chr1  61313068  61441714                NFIA
315247    chr1  61313221  61403300                NFIA
182085    chr1  84762220  84799258              SAMD13
182494    chr1  84762280  84799230              SAMD13
210064    chr1  84736051  84784890              SAMD13
222171    chr1  84763834  84786524              SAMD13
258415    chr1  84762699  84795737              SAMD13
